SRA_NO,BREED
SRR12719761,JEJU HORSE
SRR12719762,JEJU HORSE
SRR12719763,JEJU HORSE
SRR12719764,JEJU HORSE
SRR12719765,JEJU HORSE
SRR12719768,JEJU HORSE
SRR12719770,JEJU HORSE
SRR12719771,JEJU HORSE
,
SRR20981601,TIBETAN
SRR20981603,TIBETAN
SRR20981604,TIBETAN
SRR20981605,TIBETAN
SRR20981606,TIBETAN
SRR20981607,TIBETAN
SRR8442553,TIBETAN
SRR8442557,TIBETAN
SRR8442558,TIBETAN
SRR8442559,TIBETAN
,
,
SRR8442566,TIBETAN
SRR8442567,TIBETAN
SRR8442566,TIBETAN
SRR8442567,TIBETAN
SRR8442567,TIBETAN
SRR19364569,STANDARDBRED
SRR19364588,STANDARDBRED
SRR19364591,STANDARDBRED
SRR19364610,STANDARDBRED
SRR19364630,STANDARDBRED
SRR8074196,STANDARDBRED
SRR19364579,STANDARDBRED
,
,
,
SRR892894,STANDARDBRED
SRR892893,STANDARDBRED
SRR891567,STANDARDBRED
SRR891549,STANDARDBRED
SRR891548,STANDARDBRED
SRR891546,STANDARDBRED
SRR891547,STANDARDBRED
SRR19364564,HANOVERIAN
SRR19364597,HANOVERIAN
SRR19364617,HANOVERIAN
SRR19364650,HANOVERIAN
SRR19364659,HANOVERIAN
SRR19364661,HANOVERIAN
SRR2142269,HANOVERIAN
SRR2142163,HANOVERIAN
SRR1046151,HANOVERIAN
ERR978603,FREIBERGER
ERR978604,FREIBERGER
ERR978605,FREIBERGER
ERR978606,FREIBERGER
ERR978608,FREIBERGER
ERR978601,FREIBERGER
ERR978600,FREIBERGER
ERR978607,FREIBERGER
ERR978598,FREIBERGER
ERR978596,FREIBERGER
ERR978602,FREIBERGER
ERR978599,FREIBERGER
ERR978597,FREIBERGER
SRR6607268,AKHAL-TEKE
SRR6474889,AKHAL-TEKE
SRR19364611,ARABIAN
,
ERR3465843,ARABIAN
,
,
,
ERR3465834,ARABIAN
,
ERR3465844,ARABIAN
ERR3465844,ARABIAN
SRR886281,ARABIAN
SRR20981626,MONGOLIAN
SRR20981627,MONGOLIAN
SRR20981630,MONGOLIAN
SRR20981636,MONGOLIAN
SRR20981637,MONGOLIAN
SRR20981638,MONGOLIAN
SRR20981639,MONGOLIAN
SRR19427108,MONGOLIAN
SRR12719776,MONGOLIAN
SRR6474899,MONGOLIAN
SRR8074197,STANDARDBRED
SRR1046147,HANOVERIAN
,
ERR1397964,FRIESIAN
,
,
,
,
SRR12719760,JEJU HORSE
SRR12719767,JEJU HORSE
SRR12719769,JEJU HORSE
SRR20981602,TIBETAN
SRR20981608,TIBETAN
SRR8442555,TIBETAN
SRR8442568,TIBETAN
SRR8442572,TIBETAN
,
SRR8442578,TIBETAN
,
,
SRR19364638,QUARTER HORSE
SRR19364639,QUARTER HORSE
SRR19364640,QUARTER HORSE
SRR19364643,QUARTER HORSE
SRR19364646,QUARTER HORSE
SRR25223001,THOROUGHBRED
SRR25223002,THOROUGHBRED
SRR25223003,THOROUGHBRED
SRR25223004,THOROUGHBRED
SRR25223005,THOROUGHBRED
SRR25223006,THOROUGHBRED
SRR25223007,THOROUGHBRED
SRR25223008,THOROUGHBRED
SRR25223009,THOROUGHBRED
