SRA Accession,BREED
SRR20981666,AKHAL-TEKE
SRR20981667,AKHAL-TEKE
SRR6474886,AKHAL-TEKE
SRR6599538,AKHAL-TEKE
SRR6650668,AKHAL-TEKE
SRR6474892,AKHAL-TEKE
SRR20981658,FRIESIAN
SRR20981659,FRIESIAN
SRR6474869,FRIESIAN
SRR6474870,FRIESIAN
SRR6474871,FRIESIAN
SRR6474877,FRIESIAN
SRR6474869,FRIESIAN
SRR6650593,FRIESIAN
SRR6650594,FRIESIAN
SRR6650595,FRIESIAN
SRR6650677,FRIESIAN
SRR516118,JEJU HORSE
SRR12719756,JEJU HORSE
SRR12719759,JEJU HORSE
SRR12719761,JEJU HORSE
SRR12719762,JEJU HORSE
SRR12719763,JEJU HORSE
SRR12719764,JEJU HORSE
SRR12719765,JEJU HORSE
SRR12719768,JEJU HORSE
SRR12719770,JEJU HORSE
SRR12719771,JEJU HORSE
SRR527802,JEJU HORSE
SRR20981601,TIBETAN
SRR20981603,TIBETAN
SRR20981604,TIBETAN
SRR20981605,TIBETAN
SRR20981606,TIBETAN
SRR20981607,TIBETAN
SRR8442553,TIBETAN
SRR8442554,TIBETAN
SRR8442557,TIBETAN
SRR8442558,TIBETAN
SRR8442559,TIBETAN
SRR8442562,TIBETAN
SRR8442563,TIBETAN
SRR8442565,TIBETAN
SRR8442566,TIBETAN
SRR8442567,TIBETAN
SRR8442566,TIBETAN
SRR8442567,TIBETAN
SRR8442567,TIBETAN
SRR19364569,STANDARDBRED
SRR19364588,STANDARDBRED
SRR19364591,STANDARDBRED
SRR19364610,STANDARDBRED
SRR19364630,STANDARDBRED
SRR8074196,STANDARDBRED
SRR19364579,STANDARDBRED
SRR2102500,STANDARDBRED
SRR4054239,STANDARDBRED
SRR4054238,STANDARDBRED
SRR892895,STANDARDBRED
SRR892894,STANDARDBRED
SRR892893,STANDARDBRED
SRR891567,STANDARDBRED
SRR891549,STANDARDBRED
SRR891548,STANDARDBRED
SRR891546,STANDARDBRED
SRR891547,STANDARDBRED
SRR19364564,HANOVERIAN
SRR19364597,HANOVERIAN
SRR19364617,HANOVERIAN
SRR19364650,HANOVERIAN
SRR19364659,HANOVERIAN
SRR19364661,HANOVERIAN
SRR2142269,HANOVERIAN
SRR2142163,HANOVERIAN
SRR1046151,HANOVERIAN
ERR978603,FREIBERGER
ERR978604,FREIBERGER
ERR978605,FREIBERGER
ERR978606,FREIBERGER
ERR978608,FREIBERGER
ERR978601,FREIBERGER
ERR978600,FREIBERGER
ERR978607,FREIBERGER
ERR978598,FREIBERGER
ERR978596,FREIBERGER
ERR978602,FREIBERGER
ERR978599,FREIBERGER
ERR978597,FREIBERGER
SRR6607268,AKHAL-TEKE
SRR6474889,AKHAL-TEKE
SRR19364611,ARABIAN
ERR3465846,ARABIAN
ERR3465843,ARABIAN
ERR3465842,ARABIAN
ERR3465841,ARABIAN
ERR3465840,ARABIAN
ERR3465839,ARABIAN
ERR3465838,ARABIAN
ERR3465837,ARABIAN
ERR3465834,ARABIAN
ERR3465845,ARABIAN
ERR3465844,ARABIAN
ERR3465844,ARABIAN
SRR886281,ARABIAN
